budget,strat,number clusters,ARI
10,random,2,0.19261579063649878
20,random,2,0.19261579063649878
30,random,5,0.15373927748781915
40,random,4,0.17744056429320726
50,random,5,0.22545733597181894
60,random,4,0.2101897778555434
70,random,4,0.20652910050015197
80,random,4,0.1568284366562172
90,random,5,0.1882726888532247
100,random,5,0.22427322323031001
110,random,5,0.15140040398584953
120,random,5,0.11515484878996401
130,random,4,0.07767163573012129
140,random,4,0.0760595967191369
150,random,4,0.0760595967191369
160,random,5,0.08168025608287008
170,random,6,0.0534355736137028
180,random,5,0.019010445159274705
