budget,strat,number clusters,ARI
10,random,2,0.8444001082582876
20,random,2,0.8444001082582876
30,random,2,0.8444001082582876
40,random,2,0.8444001082582876
50,random,2,0.8444001082582876
60,random,2,0.8444001082582876
70,random,5,-0.03830778507510468
80,random,5,-0.03830778507510468
90,random,5,-0.018773820136274395
100,random,6,0.020273146722623134
110,random,6,0.021715650496780124
120,random,6,0.013428596858084315
130,random,6,0.00756913561163252
140,random,6,0.00756913561163252
150,random,6,0.0072384158498991005
160,random,6,0.0072384158498991005
170,random,6,0.0072384158498991005
180,random,6,0.014016624983425633
