budget,strat,number clusters,ARI
10,random,1,0.0
20,random,2,0.0689108411461434
30,random,3,0.12559657953894182
40,random,3,0.12559657953894182
50,random,4,0.09661368665359713
60,random,4,0.1022805787421755
70,random,4,0.10144562985843085
80,random,4,0.09654943050110808
90,random,4,0.09654943050110808
100,random,4,0.0855163747812217
110,random,5,0.07250721925592488
120,random,5,0.048090933468036966
130,random,6,0.03837703396919857
140,random,6,0.03837703396919857
150,random,5,0.02359362322854684
160,random,5,0.011894472274351335
170,random,5,0.011894472274351335
180,random,6,0.02944156045233611
