budget,strat,number clusters,ARI
10,random,3,0.5069592082663672
20,random,2,0.023807681975763932
30,random,2,0.023807681975763932
40,random,5,-0.049390544111412873
50,random,6,0.20180256328998147
60,random,6,0.1982394851476184
70,random,6,0.29558169324485956
80,random,6,0.2853654363487281
90,random,6,0.2853654363487281
100,random,6,0.2853654363487281
110,random,6,0.2853654363487281
120,random,6,0.2853654363487281
130,random,6,0.2853654363487281
140,random,6,0.23511311874865895
150,random,6,0.2195524601511269
160,random,6,0.2195524601511269
170,random,6,0.20878306132943356
180,random,6,0.190588526883121
