budget,strat,number clusters,ARI
10,random,2,0.02612631388604444
20,random,4,0.3444148123448948
30,random,4,0.3444148123448948
40,random,4,0.3064485608833824
50,random,4,0.3064485608833824
60,random,5,0.137717052570276
70,random,5,0.08996223948137075
80,random,5,0.08888265995784157
90,random,4,0.07271939657351549
100,random,4,0.1309411919271544
110,random,4,0.13577369576788922
120,random,4,0.13577369576788922
130,random,5,0.042243959489138214
140,random,5,0.05088533703491499
150,random,5,0.09578231913908643
160,random,5,0.09511100440071472
170,random,5,0.10067983709497609
180,random,5,0.10067983709497609
