budget,strat,number clusters,ARI
10,random,3,0.14182304273835108
20,random,2,0.021198267602054368
30,random,3,0.0030457376573150207
40,random,3,0.0030457376573150207
50,random,3,0.0030457376573150207
60,random,5,0.17519125826853169
70,random,5,0.143590432531326
80,random,5,0.143590432531326
90,random,5,0.07535991059375031
100,random,5,0.0814172622927912
110,random,6,0.09192823562770654
120,random,6,0.12549714324997915
130,random,6,0.11354545138331341
140,random,6,0.08206758463638503
150,random,7,0.05824861859326027
160,random,7,0.04949424219889234
170,random,6,0.031574176309847754
180,random,6,0.053896862672195046
