budget,strat,number clusters,ARI
10,random,2,0.02612631388604444
20,random,2,0.008568248877274295
30,random,3,0.07631588893399013
40,random,3,0.06793926751958852
50,random,2,0.04444260211079277
60,random,2,0.05096718159827221
70,random,3,0.051870163076284496
80,random,4,0.10923385172265031
90,random,4,0.10923385172265031
100,random,4,0.10923385172265031
110,random,6,0.06013505449777971
120,random,5,0.09781437020802104
130,random,5,0.07703926746690128
140,random,5,0.06398798436480964
150,random,6,0.0633523636340253
160,random,6,0.0633523636340253
170,random,6,0.04345399763632511
180,random,6,0.04119039378242628
