budget,strat,number clusters,ARI
10,random,2,0.19261579063649878
20,random,1,0.0
30,random,3,0.13723600991440857
40,random,3,0.12330184161987255
50,random,4,0.18895733300585568
60,random,3,0.19707540221850967
70,random,3,0.15050511472431127
80,random,4,0.19106005546401159
90,random,4,0.22430331893816835
100,random,4,0.16461879274892777
110,random,4,0.18449356270506526
120,random,4,0.1592243401579711
130,random,4,0.13504716538697636
140,random,4,0.13211918206763212
150,random,4,0.13187399560000343
160,random,4,0.11155127255959721
170,random,4,0.12484144573338485
180,random,4,0.12348477239830598
