budget,strat,number clusters,ARI
10,random,2,0.12336468340946075
20,random,2,0.021198267602054368
30,random,2,0.021198267602054368
40,random,2,0.021198267602054368
50,random,2,0.021198267602054368
60,random,5,0.07511067901244659
70,random,4,0.1017016800857379
80,random,4,0.11025623199883594
90,random,4,0.17518922055548744
100,random,4,0.13735645067401298
110,random,4,0.14065494265370632
120,random,4,0.17421257125881442
130,random,4,0.13766237996763492
140,random,4,0.13766237996763492
150,random,4,0.13766237996763492
160,random,4,0.13766237996763492
170,random,6,0.08576794595183977
180,random,6,0.06580172710651284
