budget,strat,number clusters,ARI
10,random,2,0.022390497255716325
20,random,2,0.02993353435247473
30,random,4,0.09530997133870005
40,random,3,0.14119073892938572
50,random,4,0.15483857828926262
60,random,4,0.22886027202958795
70,random,3,0.15660357954038726
80,random,3,0.12472535141716809
90,random,4,0.15169081083216945
100,random,5,0.10426536297630082
110,random,5,0.16593383083600086
120,random,5,0.171082596990381
130,random,5,0.1505259336440778
140,random,5,0.1505259336440778
150,random,5,0.12016137153137711
160,random,5,0.038822361882256316
170,random,5,0.05895441114298934
180,random,5,0.05895441114298934
