budget,strat,number clusters,ARI
10,random,3,0.20020302770949044
20,random,3,0.010762309272522749
30,random,4,0.012304941878109456
40,random,3,0.031600572897563274
50,random,3,0.13742419517133375
60,random,3,0.10668946169505406
70,random,4,0.10758431744761336
80,random,4,0.10758431744761336
90,random,5,0.11549791199811829
100,random,4,0.019013031440768855
110,random,4,0.019013031440768855
120,random,4,0.02968904615591369
130,random,4,0.05273447458940269
140,random,4,0.05273447458940269
150,random,4,0.03190822527276138
160,random,4,0.01626523390786376
170,random,4,0.01626523390786376
180,random,5,0.022938464845331887
