budget,strat,number clusters,ARI
10,random,2,0.20860808724320148
20,random,2,0.2249591546114617
30,random,2,0.14118112322501394
40,random,3,0.043819224176107216
50,random,3,0.043819224176107216
60,random,5,0.13172311744115403
70,random,4,0.036199689765336905
80,random,5,0.03228754125576906
90,random,5,0.08016453095735195
100,random,5,0.08016453095735195
110,random,6,0.058704409720717506
120,random,6,0.047444252049259644
130,random,6,0.03035467845381587
140,random,6,0.03055004514289096
150,random,6,0.03055004514289096
160,random,6,0.03055004514289096
170,random,6,0.03055004514289096
180,random,6,0.04011512030230025
