budget,strat,number clusters,ARI
10,random,2,0.03946219473012483
20,random,2,0.4117068141920168
30,random,2,0.4117068141920168
40,random,2,0.4117068141920168
50,random,3,0.14421257712289567
60,random,5,0.16988634998539415
70,random,5,0.25033759773273084
80,random,5,0.3219568726652742
90,random,5,0.3109616272471413
100,random,5,0.2549155760615588
110,random,5,0.278244373715829
120,random,5,0.278244373715829
130,random,5,0.14745562785042338
140,random,6,0.11776101564305815
150,random,6,0.050003017474718546
160,random,6,0.0367042839783194
170,random,6,0.021903589478539223
180,random,7,0.03311906113833923
