budget,strat,number clusters,ARI
10,random,1,0.0
20,random,3,0.4722598473093155
30,random,3,0.4722598473093155
40,random,3,0.4722598473093155
50,random,3,0.44024832464571917
60,random,3,0.35335598830382625
70,random,3,0.35335598830382625
80,random,3,0.35335598830382625
90,random,4,0.1623876883146981
100,random,5,0.06817280813431045
110,random,5,0.06817280813431045
120,random,5,0.06817280813431045
130,random,5,0.06817280813431045
140,random,6,0.031376799339422265
150,random,6,0.031376799339422265
160,random,6,0.031376799339422265
170,random,6,0.06489845213331112
180,random,6,0.06373733911504981
