budget,strat,number clusters,ARI
10,random,2,0.21873382283484774
20,random,2,0.21873382283484774
30,random,2,0.21873382283484774
40,random,2,0.21873382283484774
50,random,2,0.21873382283484774
60,random,6,0.12405854087692715
70,random,6,0.31089933224608296
80,random,6,0.31089933224608296
90,random,5,0.19942614758098917
100,random,5,0.19942614758098917
110,random,5,0.19942614758098917
120,random,6,0.1789701529764316
130,random,6,0.16363258822556637
140,random,6,0.12759324165224367
150,random,6,0.10554538588232713
160,random,6,0.10554538588232713
170,random,6,0.0676333288693208
180,random,6,0.0676333288693208
