budget,strat,number clusters,ARI
10,random,3,0.399221812860479
20,random,3,0.399221812860479
30,random,3,0.023433622370013885
40,random,4,0.03272997001416406
50,random,4,0.1859128712707151
60,random,4,0.1388486884481679
70,random,4,0.1388486884481679
80,random,5,0.13530438069469072
90,random,5,0.16016524693811074
100,random,5,0.16016524693811074
110,random,5,0.16407957532219034
120,random,5,0.12948953818755005
130,random,5,0.10568236113834935
140,random,5,0.10568236113834935
150,random,5,0.06950670227597944
160,random,5,0.06950670227597944
170,random,5,0.07102607261678003
180,random,6,0.06648568623714608
