budget,strat,number clusters,ARI
10,random,1,0.0
20,random,3,0.05729421781110686
30,random,4,0.04138114262024605
40,random,4,0.11018314549550197
50,random,4,0.07165965189257796
60,random,4,0.0710955990266236
70,random,5,0.04960383270094499
80,random,5,0.04960383270094499
90,random,6,0.08577558678466149
100,random,6,0.09037547501635772
110,random,6,0.07407436753595545
120,random,6,0.03605787766894399
130,random,5,0.05550908030558054
140,random,6,0.049644697070313416
150,random,6,0.05395521187361494
160,random,5,0.0372812002638328
170,random,5,0.04305394394849711
180,random,5,0.04305394394849711
