budget,strat,number clusters,ARI
10,random,2,0.8444001082582876
20,random,3,0.0082126572459799
30,random,3,0.047372957446867425
40,random,3,0.047372957446867425
50,random,4,0.10409926408485133
60,random,4,0.10793383345144435
70,random,4,0.10793383345144435
80,random,5,0.10578267269787295
90,random,5,0.09954297313092511
100,random,5,0.021441718170701642
110,random,6,0.02776679885945902
120,random,6,0.0015384622310815111
130,random,6,0.022611066317740743
140,random,6,0.022611066317740743
150,random,6,0.022611066317740743
160,random,6,0.022611066317740743
170,random,6,0.019559058466255698
180,random,6,0.019559058466255698
