budget,strat,number clusters,ARI
10,random,2,0.3694075388574537
20,random,2,0.3694075388574537
30,random,2,0.3694075388574537
40,random,2,0.3694075388574537
50,random,3,0.2292639898280705
60,random,4,0.17327705110731467
70,random,4,0.30057490021693684
80,random,4,0.30057490021693684
90,random,4,0.30057490021693684
100,random,5,0.14606254065653737
110,random,5,0.2014152636568967
120,random,5,0.25776597380478006
130,random,4,0.2252842528439787
140,random,4,0.16790118104287605
150,random,4,0.15861281824158685
160,random,4,0.17358961648259416
170,random,5,0.11029377316985692
180,random,5,0.07327134656058559
