budget,strat,number clusters,ARI
10,random,2,0.0897330418432396
20,random,3,0.09012432358728496
30,random,4,0.12879818376652244
40,random,4,0.12879818376652244
50,random,4,0.12879818376652244
60,random,4,0.12879818376652244
70,random,4,0.12879818376652244
80,random,4,0.12879818376652244
90,random,4,0.12879818376652244
100,random,6,0.06555517713616638
110,random,6,0.056337333300984865
120,random,6,0.15743318672205583
130,random,6,0.18182768868305987
140,random,6,0.09683054991918527
150,random,6,0.09197631156136514
160,random,6,0.09197631156136514
170,random,6,0.09197631156136514
180,random,6,0.06398672723883396
