budget,strat,number clusters,ARI
10,random,16,0.24426576681614534
20,random,16,0.24426576681614534
30,random,3,0.5338111799273644
40,random,3,0.5338111799273644
50,random,3,0.058187010063018
60,random,4,0.05797221372372802
70,random,4,0.1270830207746885
80,random,4,0.1270830207746885
90,random,3,0.028158042371925242
100,random,3,0.028158042371925242
110,random,5,0.007300483193972781
120,random,5,-0.004107516582935265
130,random,6,-0.013430987770634135
140,random,6,-0.013430987770634135
150,random,6,-0.0069354011123479225
160,random,6,-0.0075481265563760525
170,random,6,-0.004427628006308208
180,random,6,-0.005458507952435585
