budget,strat,number clusters,ARI
10,random,2,0.20860808724320148
20,random,2,0.30080956716185137
30,random,3,0.2958038502592028
40,random,3,0.2958038502592028
50,random,4,0.42134447433354544
60,random,4,0.4211606415068029
70,random,4,0.41383706826102323
80,random,4,0.39129800764609307
90,random,5,0.3315709460562211
100,random,4,0.16402950551716336
110,random,4,0.09372034560200992
120,random,5,0.07400470210527174
130,random,5,0.07182010668540399
140,random,5,0.044838667817308456
150,random,5,0.0369689121484354
160,random,5,0.03847727055551276
170,random,5,0.03847727055551276
180,random,5,0.03847727055551276
