budget,strat,number clusters,ARI
10,random,3,0.43700681499862926
20,random,4,0.10848218265299099
30,random,3,0.1878437493407087
40,random,4,0.08881696312584526
50,random,4,0.08881696312584526
60,random,5,0.14560205401398058
70,random,5,0.14560205401398058
80,random,5,0.14560205401398058
90,random,5,0.09426082593244013
100,random,5,0.07875907556952001
110,random,5,0.026896949837444794
120,random,5,0.06272904800693042
130,random,5,0.10308193097319754
140,random,5,0.10365098758752056
150,random,5,0.13923540141813737
160,random,5,0.13923540141813737
170,random,6,0.13805977173784656
180,random,6,0.14230372464493207
