budget,strat,number clusters,ARI
10,random,2,-0.03856389004534508
20,random,2,-0.03856389004534508
30,random,2,-0.03856389004534508
40,random,4,0.003244614846493804
50,random,3,0.016024133189505737
60,random,3,0.016024133189505737
70,random,5,0.10080277989931674
80,random,5,-0.016571721496398
90,random,5,0.0868506330772725
100,random,6,0.12932107764507322
110,random,6,0.13878569711118213
120,random,6,0.10800435881118274
130,random,6,0.09099857139551323
140,random,7,0.09393839107553127
150,random,7,0.09652552218093467
160,random,7,0.12202669856645756
170,random,7,0.1249540889819633
180,random,7,0.15385049765936692
