budget,strat,number clusters,ARI
10,random,2,0.3694075388574537
20,random,3,0.1803226896967929
30,random,4,0.30667331478681925
40,random,4,0.06793668751274994
50,random,4,0.0656896886101421
60,random,4,0.026319715447721947
70,random,4,0.043211670161072246
80,random,4,0.04578030986780458
90,random,4,0.07149469509916781
100,random,4,0.07373765160965798
110,random,4,0.07596317091676019
120,random,4,0.0872676802970304
130,random,4,0.06571958738026348
140,random,4,0.08246037029525378
150,random,4,0.08246037029525378
160,random,4,0.11189701785923073
170,random,4,0.10102709072848186
180,random,4,0.10102709072848186
