budget,strat,number clusters,ARI
10,random,1,0.0
20,random,5,0.020967797743108453
30,random,4,0.02212285877839542
40,random,5,0.0569068749041231
50,random,4,0.09700969758653116
60,random,4,0.09700969758653116
70,random,5,0.154202038555375
80,random,4,0.07519191278344127
90,random,5,0.10349839064361778
100,random,6,0.10502450840622483
110,random,6,0.1000400301074603
120,random,6,0.13465231065046251
130,random,5,0.05943893711332178
140,random,5,0.05943893711332178
150,random,5,0.060423564309380826
160,random,5,0.06234041921836007
170,random,5,0.06419782007793842
180,random,5,0.05155715774615848
