budget,strat,number clusters,ARI
10,random,1,0.0
20,random,2,0.3694075388574537
30,random,3,0.26591508601821917
40,random,3,0.020463053931172648
50,random,3,0.020397509193271452
60,random,3,-0.003806706383920697
70,random,3,-0.003806706383920697
80,random,4,0.05772241409126296
90,random,4,0.05920743478954337
100,random,3,0.08808009427238729
110,random,3,0.05630958642933924
120,random,3,0.035812399302237494
130,random,3,0.06084109142579207
140,random,4,0.03865569937283791
150,random,4,0.06787280363548416
160,random,4,0.06787280363548416
170,random,4,0.09309794065658575
180,random,5,0.09402754735175123
