budget,strat,number clusters,ARI
10,random,2,0.22238220931326053
20,random,2,0.22238220931326053
30,random,2,0.22238220931326053
40,random,4,0.3222160534739989
50,random,5,0.18311508531305667
60,random,4,0.06272700293939143
70,random,4,0.06784169732154771
80,random,4,0.03399451356894207
90,random,5,0.03524384516786943
100,random,5,0.06654008975760803
110,random,5,0.06437556638456535
120,random,5,0.07670186067937346
130,random,5,0.07109422362695507
140,random,6,0.11149012695301136
150,random,6,0.10819455871997628
160,random,6,0.10676133100959852
170,random,6,0.11243620022541492
180,random,5,0.1038031371543666
