budget,strat,number clusters,ARI
10,random,16,0.10509544210959454
20,random,16,0.10509544210959454
30,random,16,0.10509544210959454
40,random,4,0.05777432258359521
50,random,4,0.05777432258359521
60,random,4,0.05702128231525362
70,random,4,0.0621735477339259
80,random,4,0.0404837306759794
90,random,4,0.0404837306759794
100,random,4,0.06700376998716381
110,random,5,0.08014014473349845
120,random,5,0.08014014473349845
130,random,5,0.062362710403213006
140,random,5,0.052336227926304775
150,random,5,0.043730721312452016
160,random,5,0.03817681486452725
170,random,5,0.03817681486452725
180,random,4,0.02327975941660816
