budget,strat,number clusters,ARI
10,random,3,0.5069592082663672
20,random,2,0.040002384380616145
30,random,3,0.2381108702856556
40,random,3,0.3117310220345758
50,random,3,0.3117310220345758
60,random,5,0.05452141555536844
70,random,5,0.10114015605343386
80,random,6,0.18864955692649796
90,random,6,0.21873837038958993
100,random,6,0.21873837038958993
110,random,6,0.16598021561222892
120,random,7,0.19642243925930084
130,random,6,0.02515569766691055
140,random,6,0.014144154068740188
150,random,6,0.014144154068740188
160,random,6,0.004094802355559763
170,random,5,0.03988886173931806
180,random,5,0.03891345191609865
