budget,strat,number clusters,ARI
10,random,2,-0.03856389004534508
20,random,2,0.11212515274311814
30,random,3,0.007526290931514724
40,random,3,0.07321726460998451
50,random,2,-0.005784937015934448
60,random,3,-0.011101267309990837
70,random,4,0.11233261582659884
80,random,4,0.0379628734016323
90,random,4,0.02955598943056286
100,random,5,0.05440777669518756
110,random,5,0.058900260347225786
120,random,5,0.058900260347225786
130,random,5,0.058900260347225786
140,random,5,0.012672950021860904
150,random,5,0.015035015727143997
160,random,5,0.04462166294746889
170,random,5,0.010124562254723288
180,random,6,0.043795301538101905
