budget,strat,number clusters,ARI
10,random,8,0.20109330179434945
20,random,5,0.18800927462141095
30,random,4,0.13156734786580743
40,random,3,0.06160744530111432
50,random,3,0.030202109163419255
60,random,2,0.03715805811398593
70,random,2,0.03715805811398593
80,random,2,0.03715805811398593
90,random,4,0.018579442372523566
100,random,4,-0.0005736193006660481
110,random,4,-0.0005736193006660481
120,random,4,-0.0005736193006660481
130,random,5,-0.00840957142589111
140,random,5,0.0022797306185635166
150,random,5,0.0022797306185635166
160,random,6,-0.006011596143249933
170,random,6,-0.0027491531097054447
180,random,6,0.0032241743758385237
