budget,strat,number clusters,ARI
10,random,2,0.12336468340946075
20,random,1,0.0
30,random,1,0.0
40,random,3,-0.03770810746196756
50,random,3,0.016322002368505575
60,random,3,0.016322002368505575
70,random,3,0.016322002368505575
80,random,3,0.016322002368505575
90,random,3,0.016322002368505575
100,random,6,0.040623664242962626
110,random,6,0.09666141295606302
120,random,7,0.07328913046326652
130,random,7,0.07328913046326652
140,random,7,0.041775458555667236
150,random,7,0.051781722813543034
160,random,6,0.031877805263776725
170,random,6,0.06814330436487137
180,random,6,0.09415146625956622
