budget,strat,number clusters,ARI
10,random,2,0.12336468340946075
20,random,3,0.09034036672156741
30,random,3,0.25089477273062116
40,random,3,0.13982849662378682
50,random,4,0.095281178304323
60,random,4,0.1854080915808825
70,random,3,0.15809899778339653
80,random,4,0.14156188604893788
90,random,5,0.1385858932045968
100,random,5,0.1353023598241826
110,random,5,0.10600687681877141
120,random,5,0.10600687681877141
130,random,7,0.13005457082665736
140,random,7,0.13109709391432375
150,random,7,0.07655312433231642
160,random,7,0.07655312433231642
170,random,7,0.07655312433231642
180,random,8,0.06263355045314546
