budget,strat,number clusters,ARI
10,random,3,0.48850694537420963
20,random,2,0.15167842627783198
30,random,3,0.06051907975268024
40,random,4,0.09671602031586563
50,random,5,0.22863139156326798
60,random,5,0.22863139156326798
70,random,4,0.2398461689152881
80,random,5,0.22445711213452213
90,random,5,0.2127908052690006
100,random,5,0.12835568454694166
110,random,5,0.12835568454694166
120,random,5,0.07147204572965336
130,random,5,0.07869350381617601
140,random,5,0.08139060542301091
150,random,5,0.07234899840608065
160,random,6,0.11224762109072807
170,random,6,0.11224762109072807
180,random,7,0.1174780164655654
