budget,strat,number clusters,ARI
10,random,3,0.07599183891756131
20,random,3,0.1756768548995431
30,random,3,0.13169257374490906
40,random,3,0.07089453933358089
50,random,4,0.04648540510092142
60,random,5,0.020301208264260504
70,random,5,0.053544426854864734
80,random,5,0.06601087327474112
90,random,5,0.078741714040666
100,random,5,0.13383753276601337
110,random,5,0.13383753276601337
120,random,5,0.13383753276601337
130,random,5,0.12670648491145597
140,random,5,0.13619656894876406
150,random,5,0.08669964964489571
160,random,5,0.04183339662631837
170,random,5,0.0412374844931704
180,random,5,0.0412374844931704
