budget,strat,number clusters,ARI
10,random,2,0.8444001082582876
20,random,2,0.040002384380616145
30,random,2,0.040002384380616145
40,random,4,-0.024301684721830676
50,random,4,-0.003399823365678935
60,random,4,-0.003399823365678935
70,random,4,0.07930455854011836
80,random,5,0.09768671262143766
90,random,4,0.05077984499083046
100,random,4,0.05077984499083046
110,random,4,0.0267344990728828
120,random,5,0.025218723759475314
130,random,5,0.05572070243659553
140,random,5,0.05168120501242443
150,random,5,0.05124033435566318
160,random,5,0.0733341867119605
170,random,5,0.07428433948547263
180,random,5,0.0710906968864923
