budget,strat,number clusters,ARI
10,random,2,0.2164076315489324
20,random,2,0.2164076315489324
30,random,3,0.15481801075550083
40,random,2,0.14000155221328267
50,random,2,0.15500735402729984
60,random,3,0.10888967815329641
70,random,3,0.10888967815329641
80,random,6,0.06168168673434399
90,random,6,0.06168168673434399
100,random,6,0.06168168673434399
110,random,6,0.08295906243717474
120,random,6,0.04329596360115895
130,random,6,-0.007190673956897463
140,random,6,-0.003863102189214993
150,random,7,0.014416419836321751
160,random,6,0.010079358097892456
170,random,6,0.010079358097892456
180,random,6,-6.390808455520843e-05
