budget,strat,number clusters,ARI
10,random,3,0.19779589753046709
20,random,3,0.22859357600566255
30,random,3,0.14621348344214705
40,random,4,0.19117409673105878
50,random,4,0.14399907788664262
60,random,3,0.12106521577922146
70,random,4,0.13386924711595977
80,random,5,0.1540734508289269
90,random,5,0.1540734508289269
100,random,5,0.1509765006727933
110,random,5,0.13194463288276895
120,random,5,0.1296172598289954
130,random,4,0.13726663344335485
140,random,5,0.2064317031604926
150,random,5,0.2086906776527318
160,random,5,0.19055108722717445
170,random,5,0.17709029670876497
180,random,5,0.1346662211322468
