budget,strat,number clusters,ARI
10,random,3,0.07232448068600159
20,random,3,0.03306861502283363
30,random,3,0.021725034491775538
40,random,3,0.021725034491775538
50,random,5,-0.026907026412445124
60,random,5,0.016577597500614216
70,random,5,0.016577597500614216
80,random,5,0.12295585987106923
90,random,6,0.22812115412920603
100,random,6,0.22812115412920603
110,random,6,0.22812115412920603
120,random,7,0.2161172165090236
130,random,7,0.19909205116515014
140,random,7,0.17215668420069075
150,random,7,0.149866833482317
160,random,7,0.16273303201550088
170,random,7,0.16273303201550088
180,random,7,0.15366329899012404
