budget,strat,number clusters,ARI
10,random,2,0.19261579063649878
20,random,2,0.19261579063649878
30,random,2,0.19261579063649878
40,random,4,0.16971593034024582
50,random,4,0.16971593034024582
60,random,4,0.16971593034024582
70,random,4,0.16971593034024582
80,random,4,0.16971593034024582
90,random,4,0.16971593034024582
100,random,5,0.2230108483862185
110,random,5,0.14417958561572947
120,random,6,0.04660679772312594
130,random,6,0.055196760456017
140,random,6,0.055196760456017
150,random,5,0.037655340970142726
160,random,5,0.037655340970142726
170,random,5,0.04547577288458603
180,random,5,0.04547577288458603
