budget,strat,number clusters,ARI
10,random,8,0.37024685408915325
20,random,4,0.7872731989977011
30,random,3,0.4246385771829034
40,random,4,0.24632672204061906
50,random,4,0.24632672204061906
60,random,5,0.23448686556777973
70,random,5,0.2879733645045254
80,random,5,0.2879733645045254
90,random,5,0.2879392452977731
100,random,5,0.2879392452977731
110,random,5,0.2879392452977731
120,random,5,0.2879392452977731
130,random,5,0.23057172536778023
140,random,5,0.22374193943413792
150,random,5,0.22374193943413792
160,random,5,0.22374193943413792
170,random,5,0.22374193943413792
180,random,5,0.22374193943413792
