budget,strat,number clusters,ARI
10,random,3,0.21463840503944104
20,random,4,0.04541868057426717
30,random,3,0.05887194792234086
40,random,2,0.05714378901720742
50,random,4,0.18702672103987103
60,random,4,0.12358293317822093
70,random,4,0.12358293317822093
80,random,5,0.1273580179023282
90,random,5,0.1273580179023282
100,random,5,0.1273580179023282
110,random,5,0.1273580179023282
120,random,5,0.1273580179023282
130,random,6,0.07285207717484331
140,random,6,0.06443990749682463
150,random,6,0.05875180299207716
160,random,6,0.045526400154657025
170,random,6,0.09279554876790799
180,random,6,0.10873963255815092
