budget,strat,number clusters,ARI
10,random,3,0.03568729542928054
20,random,4,0.14725282741902257
30,random,4,0.14725282741902257
40,random,4,0.14725282741902257
50,random,4,0.13561904680145043
60,random,4,0.10287088177055212
70,random,4,0.06594349569980962
80,random,4,0.04649565500625384
90,random,3,0.03237543615109107
100,random,4,0.014654102061097098
110,random,3,0.014458237435632593
120,random,3,0.014458237435632593
130,random,3,0.014458237435632593
140,random,5,0.039746274175981554
150,random,5,0.04843148388880229
160,random,5,0.066162392815014
170,random,5,0.066162392815014
180,random,5,0.06896864348764319
