budget,strat,number clusters,ARI
10,random,3,0.22587547977310554
20,random,3,0.22587547977310554
30,random,3,0.22587547977310554
40,random,4,0.21691648069809086
50,random,5,0.20588657828362505
60,random,4,0.14991947334152778
70,random,4,0.06109903985317556
80,random,4,0.06109903985317556
90,random,5,0.04559685135670853
100,random,6,0.04629404331413631
110,random,5,0.06702774256104797
120,random,5,0.06145869074384479
130,random,5,0.06145869074384479
140,random,5,0.07667860004294201
150,random,5,0.09778463393827033
160,random,5,0.08314166057665391
170,random,5,0.09233533827267157
180,random,6,0.11221785372215502
