budget,strat,number clusters,ARI
10,random,3,0.14182304273835108
20,random,3,0.01939668353744554
30,random,3,0.02933288528622448
40,random,3,0.054729491708686115
50,random,3,0.13044501068339073
60,random,3,0.05629723817843908
70,random,3,0.055498979468961415
80,random,3,0.055498979468961415
90,random,5,0.1476385506162389
100,random,5,0.12111055848323138
110,random,5,0.1286457199957035
120,random,5,0.10335662783420349
130,random,5,0.10335662783420349
140,random,5,0.10335662783420349
150,random,5,0.10335662783420349
160,random,4,0.07545380776791212
170,random,4,0.0910974091071295
180,random,4,0.0910974091071295
