budget,strat,number clusters,ARI
10,random,1,0.0
20,random,3,0.30243938033501727
30,random,3,0.30243938033501727
40,random,4,0.30796682274396087
50,random,5,0.18199023095782077
60,random,5,0.0455830662605287
70,random,5,0.0821611257832152
80,random,5,0.1356182909713703
90,random,6,0.1398369410087786
100,random,6,0.17893995180512356
110,random,6,0.1801104895565115
120,random,6,0.13441997620249294
130,random,6,0.13217331137183697
140,random,6,0.13217331137183697
150,random,6,0.047769572513326225
160,random,6,0.051936030117066385
170,random,6,0.051936030117066385
180,random,7,0.06704130556138743
