budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
10,commun_fraction,10,0.5,rbf_svm,0.4,3,0.399221812860479
20,commun_fraction,10,0.5,rbf_svm,0.4,3,0.13349278385955476
30,commun_fraction,10,0.5,rbf_svm,0.4,3,0.13349278385955476
40,commun_fraction,10,0.5,rbf_svm,0.4,3,0.04371571281535002
50,commun_fraction,10,0.5,rbf_svm,0.4,3,0.13909893377189073
60,commun_fraction,10,0.5,rbf_svm,0.4,3,0.21090566979707287
70,commun_fraction,10,0.5,rbf_svm,0.4,3,0.2514458291051152
80,commun_fraction,10,0.5,rbf_svm,0.4,3,0.22418509347884744
90,commun_fraction,10,0.5,rbf_svm,0.4,3,0.27279026957824726
100,commun_fraction,10,0.5,rbf_svm,0.4,3,0.3235135118417097
110,commun_fraction,10,0.5,rbf_svm,0.4,3,0.318455643249268
120,commun_fraction,10,0.5,rbf_svm,0.4,4,0.2898222500820449
130,commun_fraction,10,0.5,rbf_svm,0.4,4,0.25399464907826713
140,commun_fraction,10,0.5,rbf_svm,0.4,5,0.20705474128133478
150,commun_fraction,10,0.5,rbf_svm,0.4,5,0.2910533845241659
160,commun_fraction,10,0.5,rbf_svm,0.4,4,0.32546960126472735
170,commun_fraction,10,0.5,rbf_svm,0.4,4,0.31960040672122975
180,commun_fraction,10,0.5,rbf_svm,0.4,4,0.3298302937939185
