budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
10,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8444001082582876
20,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
30,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
40,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
50,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
60,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
70,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
80,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
90,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
100,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8557617996239146
110,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8444001082582876
120,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8444001082582876
130,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8444001082582876
140,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8444001082582876
150,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8444001082582876
160,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8228983280385102
170,commun_fraction,9,0.5,rbf_svm,0.4,2,0.8228983280385102
180,commun_fraction,9,0.5,rbf_svm,0.4,2,0.7860305829065003
