budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
10,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8444001082582876
20,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
30,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
40,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
50,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
60,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
70,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
80,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
90,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
100,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
110,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8610848356222266
120,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8444001082582876
130,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8444001082582876
140,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8444001082582876
150,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8444001082582876
160,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8230351487089933
170,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8230351487089933
180,commun_fraction,10,0.5,rbf_svm,0.4,2,0.8230351487089933
