budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
10,commun_fraction,3,0.5,rbf_svm,0.4,2,0.3694075388574537
20,commun_fraction,3,0.5,rbf_svm,0.4,2,0.3694075388574537
30,commun_fraction,3,0.5,rbf_svm,0.4,2,0.3694075388574537
40,commun_fraction,3,0.5,rbf_svm,0.4,2,0.3694075388574537
50,commun_fraction,3,0.5,rbf_svm,0.4,2,0.3694075388574537
60,commun_fraction,3,0.5,rbf_svm,0.4,4,0.35850990124437787
70,commun_fraction,3,0.5,rbf_svm,0.4,4,0.41950189406837773
80,commun_fraction,3,0.5,rbf_svm,0.4,4,0.45520111207783165
90,commun_fraction,3,0.5,rbf_svm,0.4,3,0.42595116290344365
100,commun_fraction,3,0.5,rbf_svm,0.4,4,0.3512820592049338
110,commun_fraction,3,0.5,rbf_svm,0.4,5,0.3522054986130404
120,commun_fraction,3,0.5,rbf_svm,0.4,5,0.3522054986130404
130,commun_fraction,3,0.5,rbf_svm,0.4,6,0.4014467766005012
140,commun_fraction,3,0.5,rbf_svm,0.4,6,0.4289782600072569
150,commun_fraction,3,0.5,rbf_svm,0.4,6,0.5227374618307825
160,commun_fraction,3,0.5,rbf_svm,0.4,6,0.5331938345797088
170,commun_fraction,3,0.5,rbf_svm,0.4,6,0.5007188359196053
180,commun_fraction,3,0.5,rbf_svm,0.4,6,0.49049205502053883
