,budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
0,10,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.399221812860479
1,20,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.399221812860479
2,30,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.399221812860479
3,40,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.399221812860479
4,50,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.399221812860479
5,60,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.399221812860479
6,70,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.5377208737092969
7,80,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.4540545209082304
8,90,cosine_similarity,3,0.5,rbf_svm,0.4,3,0.4540545209082304
9,100,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.5038397096499263
10,110,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.5038397096499263
11,120,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.4752995241596479
12,130,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.4752995241596479
13,140,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.4798678963808412
14,150,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.47666104368920803
15,160,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.536734135509393
16,170,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.6199796636826095
17,180,cosine_similarity,3,0.5,rbf_svm,0.4,4,0.6199796636826095
