,budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
0,10,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.399221812860479
1,20,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.399221812860479
2,30,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.399221812860479
3,40,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.399221812860479
4,50,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.399221812860479
5,60,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.399221812860479
6,70,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.4957194665178946
7,80,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.4957194665178946
8,90,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.4957194665178946
9,100,cosine_similarity,3,0.7,rbf_svm,0.4,3,0.4957194665178946
10,110,cosine_similarity,3,0.7,rbf_svm,0.4,4,0.5568612900866831
11,120,cosine_similarity,3,0.7,rbf_svm,0.4,4,0.5568612900866831
12,130,cosine_similarity,3,0.7,rbf_svm,0.4,4,0.5568612900866831
13,140,cosine_similarity,3,0.7,rbf_svm,0.4,4,0.6880255192039118
14,150,cosine_similarity,3,0.7,rbf_svm,0.4,4,0.5799355427321206
15,160,cosine_similarity,3,0.7,rbf_svm,0.4,4,0.5598342706714995
16,170,cosine_similarity,3,0.7,rbf_svm,0.4,4,0.5598342706714995
17,180,cosine_similarity,3,0.7,rbf_svm,0.4,4,0.5798063728279076
