,budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
0,10,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8444001082582876
1,20,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
2,30,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
3,40,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
4,50,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
5,60,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
6,70,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
7,80,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
8,90,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
9,100,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
10,110,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8664255716822219
11,120,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8444001082582876
12,130,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8444001082582876
13,140,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8444001082582876
14,150,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8444001082582876
15,160,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8444001082582876
16,170,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8444001082582876
17,180,cosine_similarity,3,0.9,rbf_svm,0.4,2,0.8444001082582876
