threshold;budget;ARI
70;10;0.2788699473646017
70;20;0.3072855552798557
70;30;0.25594887497456925
70;40;0.2961803791559522
70;50;0.2961803791559522
70;60;0.4516178371100931
70;70;0.42899708347795434
70;80;0.448045280072561
70;90;0.4522887620780686
70;100;0.4522887620780686
70;110;0.44590358948182013
70;120;0.36346523703776473
70;130;0.36883740551716
70;140;0.34472037890340346
70;150;0.34472037890340346
70;160;0.42954034706577915
70;170;0.40990717205396965
