top_n;budget;ARI
5;10;0.27928753155331715
5;20;0.3039751957531781
5;30;0.28297455871661265
5;40;0.28873889718789447
5;50;0.30102538014113633
5;60;0.28487194047611747
5;70;0.22610732523037047
5;80;0.22957351313810404
5;90;0.22957351313810404
5;100;0.19560250862515968
5;110;0.22927266264541268
5;120;0.22927266264541268
5;130;0.2474056187869261
5;140;0.24931347344670518
5;150;0.2938351045765935
5;160;0.35776715421018146
5;170;0.35849311447294313
