top_n;budget;ARI
7;10;0.399221812860479
7;20;0.16253768561412946
7;30;0.3523380948332651
7;40;0.32570252338655187
7;50;0.3134018309871427
7;60;0.31552503835788587
7;70;0.3246377139527522
7;80;0.3164155394238137
7;90;0.29919327637845167
7;100;0.31781387947308637
7;110;0.3350282270050351
7;120;0.3233700178466876
7;130;0.3123637482439766
7;140;0.34531495224362097
