budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
10,commun_fraction,3,0.5,rbf_svm,0.4,2,0.3694075388574537
20,commun_fraction,3,0.5,rbf_svm,0.4,3,0.3446279660856816
30,commun_fraction,3,0.5,rbf_svm,0.4,3,0.3724279233087163
40,commun_fraction,3,0.5,rbf_svm,0.4,3,0.3446279660856816
50,commun_fraction,3,0.5,rbf_svm,0.4,3,0.3302034063791875
60,commun_fraction,3,0.5,rbf_svm,0.4,3,0.3486923562912523
70,commun_fraction,3,0.5,rbf_svm,0.4,3,0.3723262485751
80,commun_fraction,3,0.5,rbf_svm,0.4,3,0.3367082229275392
90,commun_fraction,3,0.5,rbf_svm,0.4,3,0.29496932303797513
100,commun_fraction,3,0.5,rbf_svm,0.4,3,0.29328804994336327
110,commun_fraction,3,0.5,rbf_svm,0.4,3,0.2632117280155853
120,commun_fraction,3,0.5,rbf_svm,0.4,3,0.2942193560421351
130,commun_fraction,3,0.5,rbf_svm,0.4,4,0.32108005670754053
140,commun_fraction,3,0.5,rbf_svm,0.4,4,0.325814603442726
150,commun_fraction,3,0.5,rbf_svm,0.4,4,0.325814603442726
160,commun_fraction,3,0.5,rbf_svm,0.4,5,0.3240913775355381
170,commun_fraction,3,0.5,rbf_svm,0.4,5,0.295841238788384
180,commun_fraction,3,0.5,rbf_svm,0.4,5,0.292157606879059
