budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
10,commun_fraction,7,0.5,rbf_svm,0.4,2,0.22238220931326053
20,commun_fraction,7,0.5,rbf_svm,0.4,3,0.3724279233087163
30,commun_fraction,7,0.5,rbf_svm,0.4,3,0.3724279233087163
40,commun_fraction,7,0.5,rbf_svm,0.4,3,0.3446279660856816
50,commun_fraction,7,0.5,rbf_svm,0.4,3,0.342726395308789
60,commun_fraction,7,0.5,rbf_svm,0.4,3,0.3444219079154929
70,commun_fraction,7,0.5,rbf_svm,0.4,3,0.36808897404953633
80,commun_fraction,7,0.5,rbf_svm,0.4,3,0.33875150031237655
90,commun_fraction,7,0.5,rbf_svm,0.4,3,0.28910514940992044
100,commun_fraction,7,0.5,rbf_svm,0.4,3,0.2976842897420467
110,commun_fraction,7,0.5,rbf_svm,0.4,3,0.2758253300473974
120,commun_fraction,7,0.5,rbf_svm,0.4,4,0.29688505365714546
130,commun_fraction,7,0.5,rbf_svm,0.4,4,0.30710002250674917
140,commun_fraction,7,0.5,rbf_svm,0.4,3,0.3140068537090651
150,commun_fraction,7,0.5,rbf_svm,0.4,3,0.3140068537090651
160,commun_fraction,7,0.5,rbf_svm,0.4,4,0.34777428436669394
170,commun_fraction,7,0.5,rbf_svm,0.4,4,0.34777428436669394
180,commun_fraction,7,0.5,rbf_svm,0.4,4,0.3527849316743186
